advance_shipping_notice_item advance_shipping_notice	advance_shipping_notice
inflow_receipt advance_shipping_notice	advance_shipping_notice
advance_shipping_notice_timeline advance_shipping_notice	advance_shipping_notice
advance_shipping_notice_item_mapping advance_shipping_notice_item	advance_shipping_notice_item
inflow_receipt_item inflow_receipt	inflow_receipt
item inflow_receipt_item	inflow_receipt_item
invoice_item invoice	invoice
outbound_gate_pass invoice	invoice
shipping_package invoice	invoice
reverse_pickup invoice	invoice
invoice_sale_order_item invoice_item	invoice_item
outbound_gate_pass_item invoice_item	invoice_item
sale_order_item invoice_item	invoice_item
outbound_gate_pass_item item	item
sale_order_item item	item
outbound_gate_pass_item outbound_gate_pass	outbound_gate_pass
pick_bucket_slot_item pick_bucket_slot	pick_bucket_slot
pick_bucket_slot picklist	picklist
advance_shipping_notice purchase_order	purchase_order
inflow_receipt purchase_order	purchase_order
purchase_order purchase_order	purchase_order
purchase_order_item purchase_order	purchase_order
advance_shipping_notice_item purchase_order_item	purchase_order_item
inflow_receipt_item purchase_order_item	purchase_order_item
item putaway	putaway
putaway_item putaway	putaway
reverse_pickup_alternate reverse_pickup	reverse_pickup
sale_order_item reverse_pickup	reverse_pickup
reshipment sale_order	sale_order
reverse_pickup sale_order	sale_order
sale_order_item sale_order	sale_order
shipping_package sale_order	sale_order
invoice_sale_order_item sale_order_item	sale_order_item
pick_bucket_slot_item sale_order_item	sale_order_item
reverse_pickup_alternate sale_order_item	sale_order_item
sale_order_item sale_order_item	sale_order_item
pick_bucket_slot shipping_package	shipping_package
reshipment shipping_package	shipping_package
return_manifest_item shipping_package	shipping_package
sale_order_item shipping_package	shipping_package
shipping_manifest_item shipping_package	shipping_package
parent_shipping_package shipping_package	parent_shipping_package
shipping_manifest_item shipping_manifest	shipping_manifest
shipping_package shipping_manifest	shipping_manifest